,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
15,in,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.7351064,0.4616087,6846.9995,state,fb-survey
16,ks,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.3062011,0.6453447,3276.8953,state,fb-survey
17,ky,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.0356392,0.5731239,4500.4878,state,fb-survey
18,la,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.0762391,0.57035,4352.9962,state,fb-survey
19,ma,smoothed_anxious_5d,2021-01-04,2021-01-09,5,19.2505814,0.5163651,5830.0135,state,fb-survey
20,md,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.4954418,0.521055,4822.9967,state,fb-survey
21,me,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.761343,0.8317754,2203.0,state,fb-survey
22,mi,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.5492904,0.3381896,12075.0459,state,fb-survey
23,mn,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.7641954,0.5380606,4819.8171,state,fb-survey
24,mo,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.9265268,0.5134896,5580.0192,state,fb-survey
25,ms,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.3810399,0.6879823,2893.9548,state,fb-survey
26,mt,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.2148433,0.9861261,1465.5164,state,fb-survey
27,nc,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.6011174,0.3460576,10995.0117,state,fb-survey
28,nd,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.647331,1.276885,766.7822,state,fb-survey
29,ne,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.2654028,0.7699638,2063.0013,state,fb-survey
30,nh,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.6397823,0.848066,2020.0,state,fb-survey
31,nj,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.4962391,0.4437855,6648.9974,state,fb-survey
32,nm,smoothed_anxious_5d,2021-01-04,2021-01-09,5,19.0960806,0.8238065,2276.4773,state,fb-survey
33,nv,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.5500732,0.7965265,2280.7033,state,fb-survey
34,ny,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.9863715,0.3070044,14961.0029,state,fb-survey
35,oh,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.7359923,0.3420851,12468.0063,state,fb-survey
36,ok,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.8831498,0.5751712,4630.1098,state,fb-survey
37,or,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.0128023,0.5609727,4692.9276,state,fb-survey
38,pa,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.4567548,0.3163831,13735.0083,state,fb-survey
39,ri,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.687219,1.0835649,1239.9865,state,fb-survey
40,sc,smoothed_anxious_5d,2021-01-04,2021-01-09,5,13.8348352,0.4343043,6320.0048,state,fb-survey
41,sd,smoothed_anxious_5d,2021-01-04,2021-01-09,5,13.4349898,1.0279947,1100.52,state,fb-survey
42,tn,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.3945708,0.4623034,7023.5151,state,fb-survey
43,tx,smoothed_anxious_5d,2021-01-04,2021-01-09,5,16.2546956,0.2536421,21159.0727,state,fb-survey
44,ut,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.193992,0.7008379,3030.2468,state,fb-survey
45,va,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.8447131,0.3962211,8493.576,state,fb-survey
46,vt,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.552269,1.2042143,1042.0018,state,fb-survey
47,wa,smoothed_anxious_5d,2021-01-04,2021-01-09,5,17.7326091,0.4298073,7896.8293,state,fb-survey
48,wi,smoothed_anxious_5d,2021-01-04,2021-01-09,5,14.9789641,0.4644433,5903.9524,state,fb-survey
49,wv,smoothed_anxious_5d,2021-01-04,2021-01-09,5,18.341454,0.7387767,2744.1575,state,fb-survey
50,wy,smoothed_anxious_5d,2021-01-04,2021-01-09,5,15.8398888,1.3246308,759.7465,state,fb-survey
